CREATE DATE,Defect Category,Defect ref,symptom category,symptom details,Serial Number,Part Number
1/1/2020,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
1/2/2020,damage,mirror,,,789,221-324
1/3/2020,documentation,SN Swap,,,780,221-324
1/4/2020,test station,power supply,,,89231,999-001
1/5/2020,test software,wrong rev,,,89264,999-001
1/6/2020,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
1/7/2020,delamination,UID lablel,,,89976,999-001
1/8/2020,fit failure,housing,range of motion,stuck in yaw,4455,444-221
1/9/2020,component failure,rotor,,,4467,444-221
1/10/2020,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
1/11/2020,damage,baffle fins,,,89765,999-001
1/12/2020,documentation,SN Missing,,,782,221-324
1/13/2020,test station,station coolant,failed to complete,station overheat,89675,999-001
1/14/2020,test software,timing issue,programming failure,failed to program cpu,89977,999-001
1/15/2020,facilities issue,temperature,,room too cold,4890,555-321
1/16/2020,delamination,CARC coating,,,89912,999-001
1/17/2020,fit failure,bearing,friction failure,rubs in pitch,769,221-324
1/18/2020,component failure,actuator,calibration,erratic motion,4190,555-321
1/19/2020,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
1/20/2020,damage,optic scratch,,,4570,555-321
1/21/2020,documentation,no buyoff,,,4675,555-321
1/22/2020,test station,anechoic chamber,failed to complete,air leak,89922,999-001
1/23/2020,test software,preset limits,limit breach,angular limit,4451,444-221
1/24/2020,facilities issue,temperature,failed to complete,room too cold,4897,555-321
1/25/2020,delamination,CARC coating,,,799,221-324
1/26/2020,fit failure,shaft,fail to rotate,,4012,555-321
1/27/2020,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
1/28/2020,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
1/29/2020,damage,mirror,,,789,221-324
1/30/2020,documentation,SN Swap,,,780,221-324
1/31/2020,test station,power supply,,,89231,999-001
2/1/2020,test software,wrong rev,,,89264,999-001
2/2/2020,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
2/3/2020,delamination,UID lablel,,,89976,999-001
2/4/2020,fit failure,housing,range of motion,stuck in yaw,4455,444-221
2/5/2020,component failure,rotor,,,4467,444-221
2/6/2020,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
2/7/2020,damage,baffle fins,,,89765,999-001
2/8/2020,documentation,SN Missing,,,782,221-324
2/9/2020,test station,station coolant,failed to complete,station overheat,89675,999-001
2/10/2020,test software,timing issue,programming failure,failed to program cpu,89977,999-001
2/11/2020,facilities issue,temperature,,room too cold,4890,555-321
2/12/2020,delamination,CARC coating,,,89912,999-001
2/13/2020,fit failure,bearing,friction failure,rubs in pitch,769,221-324
2/14/2020,component failure,actuator,calibration,erratic motion,4190,555-321
2/15/2020,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
2/16/2020,damage,optic scratch,,,4570,555-321
2/17/2020,documentation,no buyoff,,,4675,555-321
2/18/2020,test station,anechoic chamber,failed to complete,air leak,89922,999-001
2/19/2020,test software,preset limits,limit breach,angular limit,4451,444-221
2/20/2020,facilities issue,temperature,failed to complete,room too cold,4897,555-321
2/21/2020,delamination,CARC coating,,,799,221-324
2/22/2020,fit failure,shaft,fail to rotate,,4012,555-321
2/23/2020,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
2/24/2020,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
2/25/2020,damage,mirror,,,789,221-324
2/26/2020,documentation,SN Swap,,,780,221-324
2/27/2020,test station,power supply,,,89231,999-001
2/28/2020,test software,wrong rev,,,89264,999-001
2/29/2020,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
3/1/2020,delamination,UID lablel,,,89976,999-001
3/2/2020,fit failure,housing,range of motion,stuck in yaw,4455,444-221
3/3/2020,component failure,rotor,,,4467,444-221
3/4/2020,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
3/5/2020,damage,baffle fins,,,89765,999-001
3/6/2020,documentation,SN Missing,,,782,221-324
3/7/2020,test station,station coolant,failed to complete,station overheat,89675,999-001
3/8/2020,test software,timing issue,programming failure,failed to program cpu,89977,999-001
3/9/2020,facilities issue,temperature,,room too cold,4890,555-321
3/10/2020,delamination,CARC coating,,,89912,999-001
3/11/2020,fit failure,bearing,friction failure,rubs in pitch,769,221-324
3/12/2020,component failure,actuator,calibration,erratic motion,4190,555-321
3/13/2020,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
3/14/2020,damage,optic scratch,,,4570,555-321
3/15/2020,documentation,no buyoff,,,4675,555-321
3/16/2020,test station,anechoic chamber,failed to complete,air leak,89922,999-001
3/17/2020,test software,preset limits,limit breach,angular limit,4451,444-221
3/18/2020,facilities issue,temperature,failed to complete,room too cold,4897,555-321
3/19/2020,delamination,CARC coating,,,799,221-324
3/20/2020,fit failure,shaft,fail to rotate,,4012,555-321
3/21/2020,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
3/22/2020,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
3/23/2020,damage,mirror,,,789,221-324
3/24/2020,documentation,SN Swap,,,780,221-324
3/25/2020,test station,power supply,,,89231,999-001
3/26/2020,test software,wrong rev,,,89264,999-001
3/27/2020,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
3/28/2020,delamination,UID lablel,,,89976,999-001
3/29/2020,fit failure,housing,range of motion,stuck in yaw,4455,444-221
3/30/2020,component failure,rotor,,,4467,444-221
3/31/2020,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
4/1/2020,damage,baffle fins,,,89765,999-001
4/2/2020,documentation,SN Missing,,,782,221-324
4/3/2020,test station,station coolant,failed to complete,station overheat,89675,999-001
4/4/2020,test software,timing issue,programming failure,failed to program cpu,89977,999-001
4/5/2020,facilities issue,temperature,,room too cold,4890,555-321
4/6/2020,delamination,CARC coating,,,89912,999-001
4/7/2020,fit failure,bearing,friction failure,rubs in pitch,769,221-324
4/8/2020,component failure,actuator,calibration,erratic motion,4190,555-321
4/9/2020,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
4/10/2020,damage,optic scratch,,,4570,555-321
4/11/2020,documentation,no buyoff,,,4675,555-321
4/12/2020,test station,anechoic chamber,failed to complete,air leak,89922,999-001
4/13/2020,test software,preset limits,limit breach,angular limit,4451,444-221
4/14/2020,facilities issue,temperature,failed to complete,room too cold,4897,555-321
4/15/2020,delamination,CARC coating,,,799,221-324
4/16/2020,fit failure,shaft,fail to rotate,,4012,555-321
4/17/2020,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
4/18/2020,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
4/19/2020,damage,mirror,,,789,221-324
4/20/2020,documentation,SN Swap,,,780,221-324
4/21/2020,test station,power supply,,,89231,999-001
4/22/2020,test software,wrong rev,,,89264,999-001
4/23/2020,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
4/24/2020,delamination,UID lablel,,,89976,999-001
4/25/2020,fit failure,housing,range of motion,stuck in yaw,4455,444-221
4/26/2020,component failure,rotor,,,4467,444-221
4/27/2020,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
4/28/2020,damage,baffle fins,,,89765,999-001
4/29/2020,documentation,SN Missing,,,782,221-324
4/30/2020,test station,station coolant,failed to complete,station overheat,89675,999-001
5/1/2020,test software,timing issue,programming failure,failed to program cpu,89977,999-001
5/2/2020,facilities issue,temperature,,room too cold,4890,555-321
5/3/2020,delamination,CARC coating,,,89912,999-001
5/4/2020,fit failure,bearing,friction failure,rubs in pitch,769,221-324
5/5/2020,component failure,actuator,calibration,erratic motion,4190,555-321
5/6/2020,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
5/7/2020,damage,optic scratch,,,4570,555-321
5/8/2020,documentation,no buyoff,,,4675,555-321
5/9/2020,test station,anechoic chamber,failed to complete,air leak,89922,999-001
5/10/2020,test software,preset limits,limit breach,angular limit,4451,444-221
5/11/2020,facilities issue,temperature,failed to complete,room too cold,4897,555-321
5/12/2020,delamination,CARC coating,,,799,221-324
5/13/2020,fit failure,shaft,fail to rotate,,4012,555-321
5/14/2020,component failure,voltage regulator,continuity failure,high voltage,4324,555-321
5/15/2020,cable routing,yaw loop,friction failure,yaw pos,3281,444-221
5/16/2020,damage,mirror,,,789,221-324
5/17/2020,documentation,SN Swap,,,780,221-324
5/18/2020,test station,power supply,,,89231,999-001
5/19/2020,test software,wrong rev,,,89264,999-001
5/20/2020,facilities issue,humidity,failed to complete,Station shutdown,89763,999-001
5/21/2020,delamination,UID lablel,,,89976,999-001
5/22/2020,fit failure,housing,range of motion,stuck in yaw,4455,444-221
5/23/2020,component failure,rotor,,,4467,444-221
5/24/2020,cable routing,pitch loop,friction failure,yaw neg,4489,444-221
5/25/2020,damage,baffle fins,,,89765,999-001
5/26/2020,documentation,SN Missing,,,782,221-324
5/27/2020,test station,station coolant,failed to complete,station overheat,89675,999-001
5/28/2020,test software,timing issue,programming failure,failed to program cpu,89977,999-001
5/29/2020,facilities issue,temperature,,room too cold,4890,555-321
5/30/2020,delamination,CARC coating,,,89912,999-001
5/31/2020,fit failure,bearing,friction failure,rubs in pitch,769,221-324
6/1/2020,component failure,actuator,calibration,erratic motion,4190,555-321
6/2/2020,cable routing,motor cable,friction failure,stuck in pitch,750,221-324
6/3/2020,damage,optic scratch,,,4570,555-321
6/4/2020,documentation,no buyoff,,,4675,555-321
